407;SABER Ibrahim R.
408;BLANCHARD Francis
409;FORSÉ Michel
410;HOLTZ Uwe
411;'CRÉDOC (Centre de recherche pour l''étude et l''observation des conditions de vie)'
412;JAOUI Hubert
413;DONATI Pierpaolo
414;RICHET Vincent
415;LORENZI Jean-Hervé
416;CHAVANES Georges
417;COIFFET Philippe
418;LASFARGUES Yves
419;LASFARGUE Yves
420;VOISIN Wcévolode
421;PARDO Pierre
422;PASSEMARD Jean-Robert
423;MARGRAIN Pierre
424;COURTOT François
425;VOISARD Jacques
426;JEANDON Paul
427;ZARADER Robert
428;MÉTAYER Gérard
429;EKSL René
430;CURIEN Nicolas
431;PÉRIN Pascal
432;EUVRARD Françoise
433;HERBERICHS Gérard
434;GUILLOTIN Yves
435;MARTIN Gérard
436;YASHIRO Naohiro
437;BOUDAHRAIN Abdellah
438;DARAN Michelle
439;DONDOUX Jacques
440;CALOT Gérard
441;ROUSSEL Louis
442;PAILLAT Paul
443;BOURGEOIS-PICHAT Jean
444;GOMANE Jean-Pierre
445;PANG Yongjie
446;TAO Ren
447;ROBERTS Keith
448;MIHAIES Georges
449;NOUKI Takao
450;PELISSOLO Jean-Claude
451;ORFEUIL Jean-Pierre
452;SÉSAME-DATAR
453;HÉRAN Frédéric
454;LLERENA Patrick
455;WILLINGER Marc
456;AGLIETTA Michel
457;OUDIZ Gilles
458;BRENDER Anton
459;LAFAY Gérard
460;BOYER Roger
461;MISTRAL Jacques
462;DOURILLE-FEER Évelyne
463;COMÉLIAU Christian
464;COHEN Daniel
465;CHARPIN Jean-Michel
466;HÉRITIER Pierre
467;VENTURINI Patrick
468;VILAREM Pierre
469;ANCELIN Claire
470;DUCOS Gilbert
471;GENSOLLEN Michel
472;COURBIS Raymond
473;SIGNORA André
474;ADER Emmanuel
475;BOUVIER Michel
476;OLIVIER Marcel
477;BUIGUES Pierre-André
478;TASSEL Jacques
479;GENET Alain
480;KLIPFEL Henry
481;RIVELINE Claude
482;BIT (Bureau international du travail)
483;BUREAU INTERNATIONAL DU TRAVAIL
484;ANKERL Guy
485;BAYEN Marcel
486;STEMMELEN Éric
487;BOULLIER Dominique
488;HIROSHI Iwai
489;CLAVEL Gilbert
490;ROY Caroline
491;HUCHET Isabelle
492;GINNEKEN Wouter van
493;AMADE Patrice
