388;LESOURNE Jacques;156;337
389;TARDY Gérard;192;338
390;DANZIN André;240;339
391;GIROUD Françoise;241;340
392;ATTALI Jacques;242;341
393;ELMANDJRA Mahdi;238;342
394;GUERNIER Maurice;66;342
395;NULL;14;NULL
396;NULL;14;NULL
397;ROHDE Éric;243;345
398;GRIVET Pierre;244;346
399;GLOWINSKI Albert;245;347
400;ZEMAN Zavis;246;348
401;MISSIKA Jean-Louis;247;349
402;FRIEDRICHS Günter;248;350
403;BOISARD Pierre;249;351
404;RANCHON Patrick;250;351
405;ROTHWELL Roy;251;352
406;ZEGVELD Walter;218;352
407;TÉBÉKA Jacques;252;353
408;U.S. DEPARTMENT OF STATE. COUNCIL ON ENVIRONMENTAL QUALITY;253;354
409;BATLLE Annie;254;355
410;NULL;14;NULL
411;NULL;14;NULL
412;NULL;14;NULL
413;BUREAU DU PREMIER MINISTRE JAPONAIS;255;359
414;CATHELAT Bernard;256;360
415;CATY Gilbert-François;130;361
416;SANDI Ana Maria;257;362
417;PEYROT Jean;258;363
418;FAST-CCE;259;364
419;BOTKIN James;177;365
420;ELMANDJRA Mahdi;238;365
421;MALITZA Mircea;260;365
422;NULL;14;NULL
423;NULL;14;NULL
424;CURIEN Hubert;261;368
425;BRACHET Gérard;262;369
426;CHABREUIL Aline;263;370
427;LENNERTZ Dieter;264;371
428;LAGARDE Jean-Bernard;265;372
429;BRENDLE Patrice;266;373
430;BOUILLOT Jean-Claude;267;374
431;BIGNIER Michel;268;375
432;BRENDLE Patrice;266;376
433;COHENDET Patrick;269;376
434;LARUE de TOURNEMINE Régis;270;376
435;DESSEIGNE Gérard;271;377
436;DEMERLIAC Yves;272;378
437;JURDANT Baudouin;273;378
438;REUTER Helga;274;378
439;LOGSDON John M.;275;379
440;DUPAS Alain;276;380
441;LEBEAU André;277;381
442;REUTER Karl-Egon;278;381
443;ARETS Jean;279;382
444;PASSET René;280;383
445;AUJAC Henri;281;384
446;CHAMOUX Jean-Pierre;282;385
447;MAESTRE Claude J.;283;386
448;NULL;14;NULL
449;NULL;14;NULL
450;NULL;14;NULL
451;NULL;14;NULL
452;HUBER Joseph;161;391
453;COCHEMÉ Bernard;284;392
454;EME Bernard;285;392
455;LAPLUME Yves;286;392
456;AMSELLE Jean-Loup;287;393
457;GROSFELD Irena;288;394
458;SMOLAR Aleksander;289;394
